"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90538","deve preencher e enviar o formulario com dados validos","","Sun May 10 04:37:14 UTC 2026","broken","Sun May 10 04:38:45 UTC 2026","","LetCode - formulario de cadastro","LetCode - formulario de cadastro","deve preencher e enviar o formulario com dados validos"
"","36586","deve manter o botao desabilitado sem permitir clique do usuario","","Sun May 10 04:31:16 UTC 2026","passed","Sun May 10 04:31:53 UTC 2026","","LetCode - botoes","LetCode - botoes","deve manter o botao desabilitado sem permitir clique do usuario"
"","1011","deve validar checkboxes marcados e permitir aceitar os termos","","Sun May 10 04:39:30 UTC 2026","passed","Sun May 10 04:39:31 UTC 2026","","LetCode - radio buttons e checkboxes","LetCode - radio buttons e checkboxes","deve validar checkboxes marcados e permitir aceitar os termos"
"","1506","nao deve salvar sessao quando a autenticacao falha","","Sun May 10 04:29:25 UTC 2026","passed","Sun May 10 04:29:27 UTC 2026","","LetCode - login Fake Store","LetCode - login Fake Store","nao deve salvar sessao quando a autenticacao falha"
"","1600","deve exibir posicao, cor e dimensoes esperadas dos botoes","","Sun May 10 04:31:14 UTC 2026","passed","Sun May 10 04:31:16 UTC 2026","","LetCode - botoes","LetCode - botoes","deve exibir posicao, cor e dimensoes esperadas dos botoes"
"","1229","deve validar valor pre-carregado, limpeza e bloqueios dos campos","","Sun May 10 04:39:21 UTC 2026","passed","Sun May 10 04:39:22 UTC 2026","","LetCode - campos de input","LetCode - campos de input","deve validar valor pre-carregado, limpeza e bloqueios dos campos"
"","1006","deve permitir apenas uma opcao no grupo de radio buttons","","Sun May 10 04:39:27 UTC 2026","passed","Sun May 10 04:39:28 UTC 2026","","LetCode - radio buttons e checkboxes","LetCode - radio buttons e checkboxes","deve permitir apenas uma opcao no grupo de radio buttons"
"","104940","deve navegar para a home e voltar para a pagina de botoes","","Sun May 10 04:29:29 UTC 2026","failed","Sun May 10 04:31:14 UTC 2026","","LetCode - botoes","LetCode - botoes","deve navegar para a home e voltar para a pagina de botoes"
"","1335","deve permitir selecao multipla de super-herois","","Sun May 10 04:35:33 UTC 2026","passed","Sun May 10 04:35:34 UTC 2026","","LetCode - dropdowns","LetCode - dropdowns","deve permitir selecao multipla de super-herois"
"","36486","deve selecionar uma fruta pelo texto visivel","","Sun May 10 04:34:57 UTC 2026","passed","Sun May 10 04:35:33 UTC 2026","","LetCode - dropdowns","LetCode - dropdowns","deve selecionar uma fruta pelo texto visivel"
"","33677","deve preencher o nome completo e usar TAB para navegar entre campos","","Sun May 10 04:38:47 UTC 2026","passed","Sun May 10 04:39:21 UTC 2026","","LetCode - campos de input","LetCode - campos de input","deve preencher o nome completo e usar TAB para navegar entre campos"
"","2613","deve soltar a caixa pequena na area correta","","Sun May 10 04:39:33 UTC 2026","passed","Sun May 10 04:39:36 UTC 2026","","CommitQuality - drag and drop","CommitQuality - drag and drop","deve soltar a caixa pequena na area correta"
"","1122","deve evidenciar o bug de agrupamento no bloco Find the bug","","Sun May 10 04:39:28 UTC 2026","passed","Sun May 10 04:39:29 UTC 2026","","LetCode - radio buttons e checkboxes","LetCode - radio buttons e checkboxes","deve evidenciar o bug de agrupamento no bloco Find the bug"
"","817","deve identificar radio pre-selecionado e opcao desabilitada","","Sun May 10 04:39:29 UTC 2026","passed","Sun May 10 04:39:30 UTC 2026","","LetCode - radio buttons e checkboxes","LetCode - radio buttons e checkboxes","deve identificar radio pre-selecionado e opcao desabilitada"
"","1707","deve selecionar uma opcao no primeiro grupo","","Sun May 10 04:39:25 UTC 2026","passed","Sun May 10 04:39:27 UTC 2026","","LetCode - radio buttons e checkboxes","LetCode - radio buttons e checkboxes","deve selecionar uma opcao no primeiro grupo"
"","89823","deve abrir produto, adicionar ao carrinho e exibir badge com quantidade","","Sun May 10 04:31:55 UTC 2026","failed","Sun May 10 04:33:25 UTC 2026","","LetCode - fluxo de compra","LetCode - fluxo de compra","deve abrir produto, adicionar ao carrinho e exibir badge com quantidade"
"","3412","deve autenticar com credenciais validas e persistir o token","","Sun May 10 04:29:22 UTC 2026","passed","Sun May 10 04:29:25 UTC 2026","","LetCode - login Fake Store","LetCode - login Fake Store","deve autenticar com credenciais validas e persistir o token"
"","97383","deve selecionar a ultima linguagem e o pais pelo valor correto","","Sun May 10 04:35:35 UTC 2026","passed","Sun May 10 04:37:12 UTC 2026","","LetCode - dropdowns","LetCode - dropdowns","deve selecionar a ultima linguagem e o pais pelo valor correto"
"","89008","deve exibir o produto no carrinho e finalizar checkout com sucesso","","Sun May 10 04:33:25 UTC 2026","failed","Sun May 10 04:34:54 UTC 2026","","LetCode - fluxo de compra","LetCode - fluxo de compra","deve exibir o produto no carrinho e finalizar checkout com sucesso"
