"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","510","Selecionar País Pelo Valor","","Thu May 21 03:35:25 UTC 2026","passed","Thu May 21 03:35:26 UTC 2026","Dropdowns","Tests","",""
"","511","Botão Desabilitado Não Deve Permitir Ação","","Thu May 21 03:35:37 UTC 2026","passed","Thu May 21 03:35:37 UTC 2026","Navegacao","Tests","",""
"","799","Selecionar Múltiplos Super-Heróis","","Thu May 21 03:35:24 UTC 2026","passed","Thu May 21 03:35:25 UTC 2026","Dropdowns","Tests","",""
"","1280","Botão Home Deve Estar Habilitado Para Navegação","","Thu May 21 03:35:35 UTC 2026","passed","Thu May 21 03:35:36 UTC 2026","Navegacao","Tests","",""
"","547","Bloquear Formulário Com Campos Obrigatórios Vazios","","Thu May 21 03:35:28 UTC 2026","passed","Thu May 21 03:35:29 UTC 2026","Formulario","Tests","",""
"","487","Botões Devem Exibir Estado Visual Esperado","","Thu May 21 03:35:36 UTC 2026","passed","Thu May 21 03:35:37 UTC 2026","Navegacao","Tests","",""
"","1596","Preencher Formulário Com Dados Válidos","","Thu May 21 03:35:27 UTC 2026","passed","Thu May 21 03:35:28 UTC 2026","Formulario","Tests","",""
"","683","Abrir Formulario LetCode Em Chrome Headless","","Thu May 21 03:35:42 UTC 2026","passed","Thu May 21 03:35:43 UTC 2026","Smoke Ci","Tests","",""
"","441","Evidenciar Bug De Agrupamento","","Thu May 21 03:35:40 UTC 2026","passed","Thu May 21 03:35:40 UTC 2026","Radio Checkbox","Tests","",""
"","439","Validar Checkboxes","","Thu May 21 03:35:41 UTC 2026","passed","Thu May 21 03:35:41 UTC 2026","Radio Checkbox","Tests","",""
"","658","Bloquear E-mail Em Formato Inválido","","Thu May 21 03:35:29 UTC 2026","passed","Thu May 21 03:35:30 UTC 2026","Formulario","Tests","",""
"","960","Selecionar Opção No Primeiro Grupo","","Thu May 21 03:35:38 UTC 2026","passed","Thu May 21 03:35:39 UTC 2026","Radio Checkbox","Tests","",""
"","856","Selecionar Fruta Pelo Texto Visível","","Thu May 21 03:35:23 UTC 2026","passed","Thu May 21 03:35:24 UTC 2026","Dropdowns","Tests","",""
"","534","Validar Valor Pre-Carregado","","Thu May 21 03:35:33 UTC 2026","passed","Thu May 21 03:35:33 UTC 2026","Inputs","Tests","",""
"","1070","Adicionar Texto E Navegar Com Tab","","Thu May 21 03:35:31 UTC 2026","passed","Thu May 21 03:35:33 UTC 2026","Inputs","Tests","",""
"","640","Identificar Radio Pré-Selecionado E Opção Desabilitada","","Thu May 21 03:35:40 UTC 2026","passed","Thu May 21 03:35:41 UTC 2026","Radio Checkbox","Tests","",""
"","578","Limpar Campo E Validar Bloqueios","","Thu May 21 03:35:33 UTC 2026","passed","Thu May 21 03:35:34 UTC 2026","Inputs","Tests","",""
"","482","Permitir Apenas Uma Opção No Grupo One Two","","Thu May 21 03:35:39 UTC 2026","passed","Thu May 21 03:35:40 UTC 2026","Radio Checkbox","Tests","",""
"","2002","Cenário: Preencher Formulário Com Dados Válidos","","Thu May 21 03:35:20 UTC 2026","passed","Thu May 21 03:35:22 UTC 2026","Bdd Formulario","Tests","",""
"","557","Selecionar Linguagem Pelo Valor","","Thu May 21 03:35:25 UTC 2026","passed","Thu May 21 03:35:25 UTC 2026","Dropdowns","Tests","",""
"","871","Preencher Nome Completo","","Thu May 21 03:35:31 UTC 2026","passed","Thu May 21 03:35:31 UTC 2026","Inputs","Tests","",""
